preparation_time,first_image,second_image,id,day,block,trial,first_press,correct,time_first_press,real_prep_time,max_force,diff_last_beep,second_image_prep
0.463856665961436,2,2,001,1,1,17,2,1,1.90176033354874,1.90176033354874,4.49460767869318,0.0517008175229421,0.483487692034032
0.523058587441269,9,4,001,1,1,18,9,0,1.82335933694594,0.373510451947368,2.12447655335526,-0.0614704310210072,0.550151115001427
0.449033665519965,4,4,001,1,1,19,4,1,1.79690813398338,1.79690813398338,4.61895260926063,-0.0181796486976964,0.469835154217435
0.243494836690258,4,7,001,1,1,20,4,0,1.6786771742718,-0.0511675926245516,6.09208609710237,-0.171274885005914,0.270155233103651
0.206958046843928,4,9,001,1,1,21,4,0,1.66857727266142,-0.0983614623746689,5.03410839434084,-0.201128841034006,0.233061264963908
0.209173845407202,7,7,001,1,1,22,7,1,1.85785211385701,1.85785211385701,4.43165827187478,-0.0126826612413424,0.236175197143893
0.209907270807278,4,4,001,1,1,23,4,1,1.6719214767727,1.6719214767727,4.12344410803512,-0.207956488706259,0.233010302021285
0.286173873661066,2,2,001,1,1,24,2,1,1.59358165784579,1.59358165784579,4.84287891006584,-0.251703438336335,0.316495108543677
0.501009782039011,7,2,001,1,1,25,7,0,1.67994088340311,0.21353858033217,2.99924162104383,-0.209908854929381,0.533597696929064
0.388590872519579,2,2,001,1,1,26,2,1,1.68701866191986,1.68701866191986,5.62807226607469,-0.143018552880676,0.416822575081824
0.393487692540018,7,7,001,1,1,27,7,1,1.96827848759494,1.96827848759494,3.88344941013995,0.0786343985655549,0.416969933048676
0.494710812325862,9,9,001,1,1,28,9,1,2.03521258460751,2.03521258460751,3.52867405116543,0.194865068695435,0.516752609677496
0.243460660291969,2,2,001,1,1,29,2,1,2.05618966471593,2.05618966471593,3.88038389343103,0.16114261288385,0.267475473589002
0.297714287653899,2,2,001,1,1,30,2,1,1.81810649753788,1.81810649753788,3.7094143913642,-0.0419445049101341,0.317353577342146
0.405015745010401,4,7,001,1,1,31,4,0,1.82870882463067,0.263711795078052,3.18599564110174,-0.0262764198196237,0.435002970447385
0.539358511911886,4,4,001,1,1,32,4,1,1.73684027186755,1.73684027186755,6.60098679341848,-0.113056478790895,0.566187454345709
0.396360576739499,4,9,001,1,1,33,4,0,1.84276747784133,0.260260134218697,1.87356789463668,-0.067062290127069,0.417492656377362
0.20652655128053,7,7,001,1,1,34,7,1,2.11991087847673,2.11991087847673,4.29018501484948,0.279955658705148,0.233471790805197
0.480221435438216,2,2,001,1,1,35,2,1,1.93178290892683,1.93178290892683,2.77858047511369,0.0367631163408078,0.500100369343272
0.281540995844357,9,9,001,1,1,36,9,1,1.62809274939536,1.62809274939536,2.49892920239874,-0.211830865449883,0.300363954424029
0.482486818466573,9,9,001,1,1,37,9,1,1.78291396074565,1.78291396074565,2.49892920239874,-0.0521261972626235,0.503504276719468
0.33575122542246,7,7,001,1,1,38,7,1,1.71825029839238,1.71825029839238,3.65355537875481,-0.136554007858649,0.373368229364132
0.5022396490958,9,9,001,1,1,39,9,1,1.79636078802832,1.79636078802832,3.03307491438179,-0.0185436860829213,0.533971030114117
0.461492574958015,9,2,001,1,1,40,2,1,2.19329539622777,0.67712752508487,3.48145505877497,0.26369261088621,0.483832128857102
0.394684081896647,9,9,001,1,1,41,9,1,1.95033667344796,1.95033667344796,3.67735379644243,0.0802927821077901,0.41713427866307
0.24775932898124,7,4,001,1,1,42,7,0,1.77123679556098,0.0385980963565089,2.75166345167391,0.0214778818863124,0.267361300795528
0.220971191329274,4,7,001,1,1,43,4,0,1.88347763813363,0.133538402553313,5.88450818694329,0.0079229321800085,0.250060764419686
0.242470209509258,9,7,001,1,1,44,9,0,1.72233049431088,-0.00752019850915531,3.62779388113243,-0.11314642402067,0.270149307179963
0.215593157490667,2,2,001,1,1,45,2,1,1.94727239021449,1.94727239021449,4.89986874881815,0.0621947013551107,0.233571684515482
0.237622945187133,4,2,001,1,1,46,4,0,1.76757684441509,0.033886886365508,3.62123956422788,-0.102661022156099,0.266310041950419
0.278998268512749,2,9,001,1,1,47,2,0,1.8735522479019,0.17351290132865,3.75373981760987,-0.0364495496269228,0.299960653426751
0.449546143133937,4,4,001,1,1,48,4,1,1.83457621942762,1.83457621942762,4.71269746285716,-0.040318733701497,0.467080728067231
0.39590094371895,9,9,001,1,1,49,9,1,1.75807738742697,1.75807738742697,2.81831529519201,-0.0369400742947619,0.416365883904291
0.204394593055691,2,2,001,1,1,50,4,0,2.11511794760918,2.11511794760918,1.39145161095967,0.195133710565642,0.233524672186832
0.22519099789132,2,2,001,1,1,51,2,1,2.02973738521359,2.02973738521359,5.12782810633559,0.118833839891522,0.24617776109335
0.538546715500095,7,7,001,1,1,52,7,1,1.81604807704025,1.81604807704025,4.46113186729725,-0.0331735133913753,0.567228103394882
0.39883516167198,9,9,001,1,1,53,9,1,1.74311285803014,1.74311285803014,3.5121540795889,-0.0919592999653105,0.416822970144494
0.271152632131347,4,2,001,1,1,54,4,0,1.90540523638447,0.205504894616752,2.08784180389533,0.000503567209307221,0.300099658232284
0.288314010599613,4,4,001,1,1,55,4,1,1.92178606941889,1.92178606941889,3.1659074603668,0.0365940299889189,0.317317626739168
0.460339048926283,2,4,001,1,1,56,2,0,1.72945093157614,0.212681776718455,2.71525844241342,-0.190425236372903,0.483230845142316
0.268400318388262,7,7,001,1,1,57,7,1,1.73742351155852,1.73742351155852,3.60050291059469,-0.102583856340061,0.303394133550682
0.40347562454564,9,9,001,1,1,58,9,1,1.83709070139776,1.83709070139776,3.1707413390852,-0.00332357992010657,0.433239753781891
0.539506996180909,7,4,001,1,1,59,2,0,1.9982136974977,0.565645200733343,1.19552974984165,0.0880299543605361,0.567431503235639
0.496390080521512,4,4,001,1,1,60,4,1,1.97828032109646,1.97828032109646,4.03639531912653,0.103019323669287,0.518910492854047
0.283946715701655,4,4,001,1,1,61,4,1,1.93669520525691,1.93669520525691,3.06546655713184,0.0619094669018523,0.317011058958087
0.372819399994056,4,4,001,1,1,62,4,1,1.86978924255345,1.86978924255345,4.24397320128119,-0.0151965747354552,0.399902087938244
0.416984501433483,4,4,001,1,1,63,4,1,1.87509329815839,1.87509329815839,3.547582899346,0.0598415649237722,0.433080600834728
0.490143314842563,7,9,001,1,1,64,9,1,2.07167717069569,0.587532200481292,4.60247225555882,0.231712469447302,0.515855029785598
